texte,categorie,urgent
"Bonjour, Où puis-je télécharger mes factures des six derniers mois ?",facturation,0
"Nous envisageons une commande de 10 pièces, quels sont vos délais ?",commercial,0
"C'est urgent, Je n'arrive pas à connecter le produit au réseau, il reste en attente.",technique,1
Je ne souhaite pas renouveler mon abonnement l'an prochain.,resiliation,0
"Bonjour, Est-il possible de faire livrer en point relais plutôt qu'à domicile ?",livraison,0
Je veux arrêter le prélèvement mensuel dès la prochaine échéance.,resiliation,0
"Je suis assez mécontent, Je demande la résiliation de mon contrat, référence CMD-88192.",resiliation,1
"C'est urgent, Comment mettre fin à mon contrat sans frais ?",resiliation,1
"Je suis assez mécontent, Pourriez-vous m'adresser un duplicata de la facture du mois dernier ?",facturation,1
"Bonjour, Comment réinitialiser l'appareil aux réglages d'usine ?",technique,0
"Merci d'avance. L'écran affiche un code erreur E29, que signifie-t-il ?",technique,0
"Merci d'avance. Ma commande est arrivée incomplète, il manque un article.",livraison,0
"C'est urgent, Pouvez-vous confirmer que mon abonnement ne sera pas reconduit ?",resiliation,1
"Je suis assez mécontent, Le montant facturé ne correspond pas au devis signé, écart de 704 euros.",facturation,1
"Je suis assez mécontent, Je veux arrêter le prélèvement mensuel dès la prochaine échéance.",resiliation,1
"C'est urgent, Ma commande est arrivée incomplète, il manque un article.",livraison,1
Quelles sont les conditions de résiliation anticipée ?,resiliation,0
"Merci d'avance. L'écran affiche un code erreur E52, que signifie-t-il ?",technique,0
"C'est urgent, Le numéro de TVA de ma société n'apparaît pas sur la facture CMD-47740.",facturation,1
Cordialement. Je voudrais être rappelé par un commercial pour un projet d'équipement.,commercial,0
L'appareil ne s'allume plus depuis la dernière mise à jour.,technique,1
Merci d'avance. Je souhaite un devis pour 50 unités du modèle professionnel.,commercial,0
Quelles sont les conditions de résiliation anticipée ?,resiliation,0
"Je suis assez mécontent, Je n'arrive pas à connecter le produit au réseau, il reste en attente.",technique,1
Merci d'avance. Je voudrais être rappelé par un commercial pour un projet d'équipement.,commercial,0
