surface_m2,pieces,age_annees,revenu_median,distance_centre_km,prix
116.4,4.0,70,3.982,1.69,5.614
134.7,5.0,48,6.172,3.21,6.965
109.6,5.0,42,9.57,3.29,8.025
104.4,5.0,66,3.366,0.87,5.335
140.4,5.0,25,1.471,3.79,5.08
107.4,5.0,5,3.306,7.17,5.236
122.8,6.0,70,5.575,0.45,6.181
118.9,5.0,40,2.499,12.73,4.596
140.4,6.0,29,4.347,17.07,6.109
98.6,5.0,8,1.863,17.17,3.659
156.6,8.0,83,3.214,9.8,5.768
90.6,5.0,65,0.887,2.88,3.212
125.5,4.0,24,1.772,1.33,4.971
120.6,7.0,54,2.711,4.13,5.369
206.7,9.0,41,2.308,8.1,7.71
88.0,6.0,29,1.514,0.24,4.411
128.9,5.0,28,2.171,27.35,3.239
101.0,3.0,6,3.153,15.9,3.746
78.8,4.0,87,2.615,12.16,2.353
134.4,6.0,83,2.794,14.66,5.015
69.7,4.0,78,3.779,3.14,3.964
83.4,5.0,28,2.329,4.75,4.925
109.2,5.0,89,5.011,0.35,6.114
140.1,6.0,24,1.742,6.75,5.32
131.6,6.0,74,6.473,0.93,7.319
115.7,5.0,9,4.486,0.01,5.943
62.9,3.0,27,2.316,1.17,3.155
89.3,5.0,51,2.386,4.71,3.962
95.5,5.0,87,2.983,6.11,3.407
77.7,4.0,23,3.559,6.23,4.015
58.0,3.0,38,4.448,10.46,3.357
110.9,4.0,75,1.487,2.43,4.645
133.0,6.0,42,3.31,2.69,5.824
93.1,4.0,61,1.049,18.27,2.138
139.5,6.0,37,2.51,10.38,5.356
67.1,3.0,0,5.229,12.32,4.013
76.2,3.0,25,1.436,50.71,0.2
110.2,4.0,50,1.324,22.2,2.402
90.6,3.0,1,3.002,24.58,2.896
129.4,7.0,20,5.075,34.19,4.67
122.4,5.0,85,3.147,6.7,4.869
92.7,4.0,1,1.154,4.96,3.734
69.1,4.0,22,1.275,0.17,2.791
89.3,5.0,55,2.841,12.7,3.498
123.3,6.0,50,1.599,22.89,3.756
131.0,6.0,18,2.891,6.28,5.409
90.8,5.0,5,2.969,0.57,5.518
57.9,4.0,80,2.181,1.61,2.868
66.0,3.0,49,6.151,0.66,4.437
120.1,4.0,51,3.546,5.2,4.868
92.2,4.0,5,4.689,10.68,4.366
92.9,5.0,18,4.113,14.92,3.982
75.8,3.0,6,2.541,14.48,3.073
75.4,5.0,88,2.491,0.42,3.218
138.7,6.0,69,2.378,2.65,5.399
121.5,6.0,49,3.693,1.14,6.161
85.5,5.0,61,2.029,4.9,3.358
107.6,5.0,14,5.908,16.23,5.692
113.6,5.0,88,1.943,0.96,3.883
176.0,9.0,46,2.994,22.38,6.05
73.4,2.0,46,2.452,8.18,2.562
113.1,5.0,86,2.219,1.1,4.687
138.4,7.0,8,7.225,0.92,7.795
168.7,8.0,38,2.231,0.54,7.564
84.1,5.0,7,2.37,0.1,3.583
91.8,3.0,38,2.016,27.69,2.606
129.8,5.0,24,2.769,9.09,5.405
62.6,3.0,41,2.597,10.81,2.701
116.7,6.0,63,1.643,9.42,4.162
198.1,9.0,25,2.246,22.13,7.255
120.7,6.0,4,3.576,62.06,3.075
49.3,3.0,14,4.315,0.59,3.618
79.2,3.0,64,2.748,7.58,3.315
85.0,3.0,52,2.791,14.53,2.892
149.0,7.0,88,2.311,9.21,5.037
99.5,5.0,80,2.168,6.45,4.015
58.1,2.0,14,1.797,16.24,1.85
103.1,5.0,66,1.349,0.31,3.454
109.7,5.0,8,1.982,22.85,3.54
88.4,4.0,8,4.083,13.43,4.23
75.0,3.0,71,2.246,0.06,3.122
205.9,9.0,36,2.326,21.05,6.664
138.6,7.0,89,2.306,5.75,5.483
142.8,6.0,0,4.759,11.98,6.99
99.5,4.0,45,1.79,28.31,2.532
83.7,3.0,27,3.079,0.33,4.402
89.8,4.0,88,2.636,0.65,3.677
67.0,3.0,60,2.803,1.45,3.161
174.8,8.0,69,3.034,0.57,7.471
100.8,5.0,26,2.789,10.22,3.687
160.7,8.0,80,3.884,3.36,7.079
91.2,6.0,75,2.683,6.88,4.122
121.2,5.0,70,5.959,13.36,5.824
111.7,4.0,42,2.773,63.57,1.209
64.9,2.0,82,1.263,0.98,2.389
182.6,8.0,60,3.623,5.27,7.294
92.0,4.0,5,3.243,5.0,3.968
71.3,3.0,79,2.758,4.17,3.142
130.1,7.0,1,2.419,7.36,5.842
104.8,6.0,61,1.05,5.24,4.137
117.6,6.0,22,1.132,3.59,4.334
108.3,6.0,80,5.705,8.33,5.588
50.8,2.0,65,2.089,2.6,2.134
78.3,2.0,72,4.198,4.08,3.791
77.3,4.0,62,1.321,1.68,3.147
142.1,5.0,51,1.697,1.93,5.677
106.1,4.0,77,3.689,1.98,5.688
123.7,6.0,26,2.596,5.98,4.845
93.8,4.0,47,3.462,2.02,4.771
125.7,6.0,26,2.702,2.19,5.661
99.6,4.0,10,2.476,12.88,3.654
97.3,4.0,78,2.002,15.39,2.704
111.5,6.0,44,1.588,2.23,4.565
108.3,5.0,4,5.11,6.85,6.463
230.3,9.0,74,5.503,7.41,9.819
78.0,3.0,84,1.703,0.26,2.84
62.7,2.0,59,1.654,0.35,2.554
116.8,6.0,29,2.324,8.73,4.23
81.5,4.0,77,3.168,1.11,3.984
49.1,2.0,66,2.505,8.98,2.276
72.4,2.0,25,3.403,3.74,3.378
210.9,9.0,29,2.659,1.1,7.282
77.4,3.0,88,2.582,16.18,2.617
56.4,3.0,85,8.052,3.46,4.953
206.0,9.0,60,2.146,2.61,7.565
71.5,3.0,3,5.686,6.9,4.373
256.7,9.0,20,5.213,9.68,10.605
92.5,6.0,31,3.41,1.97,4.646
182.9,9.0,48,1.143,10.55,6.581
96.5,4.0,78,2.757,0.46,4.61
121.5,6.0,76,2.156,6.56,4.543
100.3,3.0,24,2.743,5.85,3.975
96.8,4.0,9,1.685,7.91,3.675
113.6,3.0,24,3.82,14.36,4.477
123.0,7.0,21,4.234,16.42,4.752
110.7,6.0,80,4.602,53.63,3.243
106.9,5.0,1,2.289,11.42,4.398
81.8,4.0,74,1.688,3.41,3.029
101.6,4.0,59,3.184,13.24,3.259
174.5,8.0,9,5.991,14.52,7.92
80.6,5.0,61,2.805,14.51,2.958
114.7,5.0,52,3.332,0.67,5.27
155.0,7.0,0,2.446,20.93,4.578
123.3,4.0,20,2.167,5.34,4.589
142.6,7.0,31,3.655,9.41,5.931
71.2,3.0,19,2.592,20.37,2.296
114.8,4.0,52,3.26,8.71,4.576
